timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767763792.768285782,75.16,34.040,512.000
1767763794.808336495,22.21,50.260,512.000
1767763796.853608174,21.38,72.730,512.000
1767763798.892053157,18.68,95.960,512.000
1767763800.930501498,18.75,119.100,512.000
1767763802.976647129,20.45,114.500,512.000
1767763805.015361104,19.19,119.300,512.000
1767763807.064031646,22.28,116.700,512.000
1767763809.101416722,19.85,117.400,512.000
1767763811.145957178,17.66,112.200,512.000
1767763813.189126944,21.23,115.800,512.000
1767763815.237101853,17.27,112.800,512.000
1767763817.285185288,17.67,112.600,512.000
1767763819.324718550,18.93,116.400,512.000
1767763821.369841042,20.66,114.300,512.000
1767763823.408805236,23.26,116.800,512.000
1767763825.456709131,18.16,114.700,512.000
1767763827.498609929,19.28,117.800,512.000
1767763829.537861731,17.04,114.300,512.000
1767763831.587196737,19.55,117.900,512.000
1767763833.629052517,20.96,113.500,512.000
1767763835.676686613,19.49,116.400,512.000
1767763837.717839212,19.08,113.900,512.000
1767763839.766086957,17.88,117.500,512.000
1767763841.814844576,19.29,113.900,512.000
1767763843.860189798,20.72,113.400,512.000
1767763845.898892710,16.81,114.600,512.000
1767763847.941839107,18.86,104.800,512.000
1767763849.987964233,17.63,101.800,512.000
1767763852.030065472,19.04,104.200,512.000
1767763854.076253580,19.95,101.600,512.000
1767763856.119862973,16.85,98.840,512.000
1767763858.169784258,16.35,102.600,512.000
1767763860.208462596,17.72,106.000,512.000
1767763862.258703906,16.96,102.500,512.000
1767763864.302211926,20.84,100.500,512.000
1767763866.347263033,16.28,103.000,512.000
1767763868.388510458,18.52,105.100,512.000
1767763870.432535125,16.77,103.600,512.000
1767763872.481590882,19.56,107.800,512.000
1767763874.524533414,17.95,104.200,512.000
1767763876.569333087,19.04,102.200,512.000
1767763878.609514081,17.10,106.700,512.000
1767763880.663152346,17.28,107.800,512.000
1767763882.700287156,16.15,111.200,512.000
1767763884.741330690,19.08,114.000,512.000
1767763886.786253814,18.12,109.200,512.000
1767763888.825602619,26.67,118.600,512.000
1767763890.871835443,17.58,108.200,512.000
1767763892.917902576,18.79,96.050,512.000
1767763894.964548662,17.79,92.270,512.000
1767763897.001402604,18.83,95.580,512.000
1767763899.051226389,18.91,87.490,512.000
1767763901.091127595,19.41,83.660,512.000
1767763903.131809202,19.66,89.320,512.000
1767763905.180293349,19.56,89.800,512.000
1767763907.220285120,18.21,95.150,512.000
1767763909.268411756,17.50,90.580,512.000
1767763911.307660911,18.19,91.200,512.000
1767763913.350605299,18.74,92.410,512.000
1767763915.391789602,17.37,93.550,512.000
1767763917.431398250,16.59,89.810,512.000
1767763919.475916647,18.06,93.200,512.000
1767763921.513027362,19.68,78.420,512.000
1767763923.559894637,22.34,78.190,512.000
1767763925.599557322,16.94,82.790,512.000
1767763927.639513973,18.39,90.150,512.000
1767763929.683998845,16.70,96.660,512.000
1767763931.723515430,19.03,89.620,512.000
1767763933.775723483,19.80,93.110,512.000
1767763935.815041597,18.62,101.900,512.000
1767763937.858972942,15.91,98.610,512.000
1767763939.901357606,17.61,99.520,512.000
1767763941.940313902,17.54,93.660,512.000
1767763943.990007206,23.07,97.000,512.000
1767763946.036999704,15.89,94.430,512.000
1767763948.083423542,16.52,97.260,512.000
1767763950.122776352,16.43,93.890,512.000
1767763952.166002790,17.19,97.040,512.000
1767763954.205932970,20.28,93.110,512.000
1767763956.253939946,17.80,96.590,512.000
1767763958.293926125,16.62,93.630,512.000
1767763960.337255232,17.70,93.050,512.000
1767763962.383867816,18.80,85.600,512.000
1767763964.431748269,20.07,87.480,512.000
1767763966.481487696,19.55,88.800,512.000
1767763968.521480634,18.59,83.900,512.000
1767763970.570578686,16.00,87.040,512.000
1767763972.612457969,18.99,96.140,512.000
1767763974.670430641,19.19,94.000,512.000
1767763976.708662157,18.34,91.290,512.000
1767763978.753928516,16.24,94.870,512.000
1767763980.793738910,14.55,85.200,512.000
1767763982.835351610,17.03,83.680,512.000
1767763984.891055395,16.70,80.360,512.000
1767763986.929622030,17.72,95.460,512.000
1767763988.978586502,16.20,92.410,512.000
1767763991.019528193,17.12,90.050,512.000
1767763993.063416356,15.91,93.760,512.000
1767763995.103416707,16.18,91.940,512.000
1767763997.143508301,18.40,81.970,512.000
1767763999.190315567,17.47,89.680,512.000
1767764001.230044220,16.55,90.340,512.000
1767764003.278355692,15.92,93.240,512.000
1767764005.317490028,17.73,91.180,512.000
1767764007.360071138,16.82,93.820,512.000
1767764009.399740344,16.84,90.450,512.000
1767764011.438640032,16.21,94.210,512.000
1767764013.484027092,16.33,92.320,512.000
1767764015.524695164,15.99,95.690,512.000
1767764017.571606688,17.16,91.710,512.000
1767764019.610835972,19.78,96.030,512.000
1767764021.655615453,18.69,92.140,512.000
1767764023.696926140,15.19,92.230,512.000
1767764025.745217839,19.98,95.870,512.000
1767764027.791558113,18.40,92.740,512.000
1767764029.831738235,19.28,95.840,512.000
1767764031.877086734,17.58,92.310,512.000
1767764033.920520307,18.59,89.950,512.000
1767764035.973360951,15.87,92.920,512.000
1767764038.013880617,16.26,91.140,512.000
1767764040.062150003,17.61,94.330,512.000
1767764042.100280862,18.20,82.150,512.000
1767764044.141313669,17.01,85.150,512.000
1767764046.184975669,16.62,84.300,512.000
1767764048.223743802,17.33,84.590,512.000
1767764050.268961275,17.17,86.790,512.000
1767764052.310737236,17.60,88.040,512.000
1767764054.350799040,20.05,91.990,512.000
1767764056.389515871,17.43,89.340,512.000
1767764058.429815525,17.16,79.150,512.000
1767764060.481824117,18.54,87.300,512.000
1767764062.529278681,17.51,86.520,512.000
1767764064.578331407,18.87,86.880,512.000
1767764066.618178874,18.02,90.950,512.000
1767764068.661639649,16.85,87.980,512.000
1767764070.702505697,18.84,93.260,512.000
1767764072.742353959,16.82,77.740,512.000
1767764074.783759285,19.88,91.180,512.000
1767764076.822781534,16.23,88.190,512.000
1767764078.870029398,18.07,92.690,512.000
1767764080.910408314,17.17,93.790,512.000
1767764082.954905589,19.36,86.920,512.000
1767764084.995133834,20.30,91.720,512.000
1767764087.034643837,16.49,79.500,512.000
