timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767756532.688919393,15.61,76.590,512.000
1767756534.729289753,15.38,80.310,512.000
1767756536.770306464,31.56,86.400,512.000
1767756538.815005280,31.25,94.320,512.000
1767756540.858739713,31.10,97.950,512.000
1767756542.902981192,32.14,104.000,512.000
1767756544.945245690,29.40,107.200,512.000
1767756546.990260340,34.81,116.500,512.000
1767756549.033346389,48.29,131.900,512.000
1767756551.071740083,22.19,147.800,512.000
1767756553.121273058,27.49,169.600,512.000
1767756555.161907065,19.91,173.600,512.000
1767756557.208935526,20.39,172.200,512.000
1767756559.249321869,21.01,177.800,512.000
1767756561.290815520,19.86,171.600,512.000
1767756563.329923829,22.83,172.100,512.000
1767756565.368836512,20.91,175.200,512.000
1767756567.420619406,18.74,171.700,512.000
1767756569.460040168,21.17,174.900,512.000
1767756571.506276298,19.80,172.100,512.000
1767756573.547593575,22.96,174.600,512.000
1767756575.596641694,18.55,172.900,512.000
1767756577.641534518,19.64,176.200,512.000
1767756579.689238929,23.42,178.900,512.000
1767756581.729719404,20.27,173.900,512.000
1767756583.771750321,22.06,176.900,512.000
1767756585.819633242,19.57,171.700,512.000
1767756587.859383445,20.84,177.000,512.000
1767756589.905543963,20.07,179.200,512.000
1767756591.945158994,21.46,174.200,512.000
1767756593.992863863,18.95,173.700,512.000
1767756596.034875188,19.76,171.900,512.000
1767756598.073317122,18.66,174.700,512.000
1767756600.121091555,20.42,171.500,512.000
1767756602.160664800,20.62,174.500,512.000
1767756604.210244274,19.15,173.400,512.000
1767756606.254293833,20.35,172.700,512.000
1767756608.302477329,18.04,172.300,512.000
1767756610.345069534,18.56,175.000,512.000
1767756612.395165804,20.88,171.300,512.000
1767756614.434841957,19.57,174.200,512.000
1767756616.473159330,20.58,172.600,512.000
1767756618.517578358,18.90,173.600,512.000
1767756620.560146650,22.02,176.300,512.000
1767756622.611869225,18.90,173.400,512.000
1767756624.652338243,20.45,176.400,512.000
1767756626.700933689,21.41,170.500,512.000
