timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767758360.134982795,38.41,31.930,512.000
1767758362.175869512,21.26,52.860,512.000
1767758364.224990893,23.30,74.850,512.000
1767758366.264760177,21.70,96.660,512.000
1767758368.307363579,22.39,117.600,512.000
1767758370.352314391,21.97,80.710,512.000
1767758372.392076088,21.86,90.670,512.000
1767758374.438917750,21.52,92.340,512.000
1767758376.479273232,19.95,93.840,512.000
1767758378.528904051,21.97,106.400,512.000
1767758380.575736774,21.76,101.600,512.000
1767758382.625330277,19.51,105.500,512.000
1767758384.666097035,18.77,102.300,512.000
1767758386.707401189,19.53,105.000,512.000
1767758388.757836377,19.97,103.500,512.000
1767758390.813354354,27.02,107.100,512.000
1767758392.853987541,21.86,104.000,512.000
1767758394.895977679,21.10,106.300,512.000
1767758396.941216117,21.29,103.800,512.000
1767758398.980966767,20.12,104.000,512.000
1767758401.031872489,22.73,106.700,512.000
1767758403.073015822,20.65,102.300,512.000
1767758405.125230559,20.73,101.300,512.000
1767758407.166158050,22.72,104.200,512.000
1767758409.211774798,18.55,101.800,512.000
1767758411.254132062,23.21,105.400,512.000
1767758413.294697900,19.83,102.700,512.000
1767758415.341860533,19.53,103.500,512.000
1767758417.385810600,19.41,106.300,512.000
1767758419.435764523,19.00,102.300,512.000
1767758421.476972725,20.89,105.500,512.000
1767758423.522563075,26.92,78.750,512.000
1767758425.562259783,19.22,80.910,512.000
1767758427.607845210,20.77,84.830,512.000
1767758429.651715856,18.74,88.560,512.000
1767758431.693038169,20.30,93.910,512.000
1767758433.735106873,18.92,89.860,512.000
1767758435.775294573,19.99,94.270,512.000
1767758437.828097108,20.41,90.590,512.000
1767758439.867030339,18.51,91.880,512.000
1767758441.917273202,20.29,89.620,512.000
1767758443.962645764,18.91,96.290,512.000
1767758446.006644869,19.25,98.050,512.000
1767758448.054443944,19.21,96.090,512.000
1767758450.102486893,24.06,103.700,512.000
1767758452.151293765,18.13,94.150,512.000
1767758454.191097422,20.18,93.570,512.000
1767758456.239363201,20.46,96.550,512.000
1767758458.281535011,18.68,91.930,512.000
1767758460.330767841,21.08,90.160,512.000
1767758462.371003737,19.75,93.260,512.000
1767758464.414776397,20.66,92.160,512.000
1767758466.456425926,21.61,90.910,512.000
1767758468.504621424,18.48,92.550,512.000
1767758470.549478401,18.56,91.400,512.000
