timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767772871.040738039,36.61,67.320,512.000
1767772873.080958577,17.53,82.390,512.000
1767772875.122781033,14.63,83.180,512.000
1767772877.158952879,16.68,83.360,512.000
1767772879.197016269,14.21,84.750,512.000
1767772881.247273710,14.13,83.930,512.000
1767772883.286996926,14.27,84.970,512.000
1767772885.336450886,13.42,86.870,512.000
1767772887.375399615,16.30,85.500,512.000
1767772889.418785260,13.92,85.550,512.000
1767772891.457386606,14.47,85.700,512.000
1767772893.496888509,13.56,86.790,512.000
1767772895.547759812,13.33,86.850,512.000
1767772897.588508024,16.22,87.890,512.000
1767772899.634574079,14.91,88.440,512.000
1767772901.676432362,18.84,89.110,512.000
1767772903.722182175,13.56,90.310,512.000
1767772905.763331565,14.65,90.810,512.000
1767772907.804216147,15.70,90.540,512.000
1767772909.848032160,13.21,90.550,512.000
1767772911.886179849,13.91,90.540,512.000
1767772913.934899799,14.60,91.610,512.000
1767772915.974078541,15.93,91.640,512.000
1767772918.020378745,16.69,91.640,512.000
1767772920.059032812,13.43,91.620,512.000
1767772922.106718025,13.79,91.610,512.000
1767772924.149248863,15.71,91.620,512.000
1767772926.193184857,14.24,92.230,512.000
1767772928.237815671,17.18,92.020,512.000
1767772930.277453454,13.24,91.750,512.000
1767772932.331265799,14.58,92.180,512.000
1767772934.369915512,16.37,92.020,512.000
1767772936.408229374,14.28,92.250,512.000
1767772938.450161590,19.09,92.160,512.000
1767772940.488464552,14.10,92.390,512.000
1767772942.533871383,13.51,92.390,512.000
1767772944.573319864,13.61,92.150,512.000
1767772946.617886113,15.78,92.160,512.000
1767772948.656974537,12.90,92.170,512.000
1767772950.699235927,13.01,92.160,512.000
1767772952.742890862,14.51,92.270,512.000
1767772954.783526272,14.10,94.990,512.000
1767772956.831159971,13.43,94.500,512.000
1767772958.872743377,13.26,94.760,512.000
1767772960.911334910,18.83,94.780,512.000
1767772962.955346520,14.31,94.780,512.000
1767772964.996739370,13.11,95.020,512.000
1767772967.048944219,13.79,94.780,512.000
1767772969.089542924,12.09,94.780,512.000
1767772971.136169170,13.29,94.790,512.000
1767772973.176211129,13.09,94.770,512.000
1767772975.221369272,12.94,95.020,512.000
1767772977.261091349,13.40,95.020,512.000
1767772979.299987582,12.74,94.770,512.000
1767772981.347220013,13.73,94.880,512.000
1767772983.394302231,13.46,95.160,512.000
1767772985.442093847,14.46,94.990,512.000
1767772987.480432712,13.20,95.160,512.000
1767772989.522650013,13.48,94.900,512.000
1767772991.563541176,12.99,95.350,512.000
1767772993.607215731,13.92,94.860,512.000
1767772995.649413666,13.50,94.860,512.000
1767772997.690651014,15.16,94.850,512.000
1767772999.736415687,13.26,94.860,512.000
1767773001.777434003,13.24,95.590,512.000
1767773003.823113617,13.43,95.100,512.000
1767773005.866822120,13.11,95.100,512.000
1767773007.904231822,14.42,94.870,512.000
1767773009.951183344,14.10,96.070,512.000
1767773011.991250872,13.28,96.100,512.000
1767773014.036441629,15.42,95.840,512.000
1767773016.076735044,14.08,96.490,512.000
1767773018.127616981,15.88,96.500,512.000
1767773020.168434254,12.77,96.740,512.000
1767773022.206811633,13.34,96.830,512.000
1767773024.251336479,14.45,97.070,512.000
1767773026.291107063,13.76,96.590,512.000
1767773028.336119989,16.34,96.840,512.000
1767773030.375963611,12.84,97.070,512.000
1767773032.425334586,12.77,96.590,512.000
1767773034.466727287,13.24,96.590,512.000
1767773036.507327586,16.17,96.590,512.000
1767773038.554975047,15.76,96.610,512.000
1767773040.594129084,13.67,96.610,512.000
1767773042.638136300,13.72,96.790,512.000
1767773044.680170842,13.49,96.780,512.000
1767773046.731384230,13.86,96.770,512.000
1767773048.769579093,15.63,96.790,512.000
1767773050.808226959,13.75,96.770,512.000
1767773052.851679254,13.41,97.020,512.000
1767773054.890067202,14.10,96.770,512.000
1767773056.937557091,13.07,96.780,512.000
1767773058.976989678,18.09,96.780,512.000
1767773061.018604575,13.09,96.770,512.000
1767773063.061729065,13.85,97.010,512.000
1767773065.101876550,13.21,97.020,512.000
1767773067.148750180,14.53,97.050,512.000
1767773069.194187677,14.88,97.020,512.000
1767773071.243185659,13.20,97.030,512.000
1767773073.285645150,12.74,96.770,512.000
1767773075.334995326,12.61,97.010,512.000
1767773077.373588939,13.10,96.770,512.000
1767773079.419697512,13.60,97.020,512.000
1767773081.460880772,14.18,96.780,512.000
1767773083.500681779,13.07,97.010,512.000
1767773085.548075544,13.65,97.320,512.000
1767773087.591503562,13.17,96.840,512.000
1767773089.635222218,12.73,97.090,512.000
1767773091.676288330,13.70,97.320,512.000
1767773093.718664759,15.81,96.840,512.000
1767773095.767241575,13.59,96.800,512.000
1767773097.810439513,13.13,96.800,512.000
1767773099.852421651,13.45,96.820,512.000
1767773101.893525397,13.29,96.800,512.000
1767773103.939773078,13.50,97.060,512.000
1767773105.989444017,13.07,96.800,512.000
1767773108.034233524,13.17,96.800,512.000
1767773110.076394893,13.23,96.800,512.000
1767773112.118959070,13.12,96.800,512.000
1767773114.159616268,12.99,96.800,512.000
1767773116.207886321,13.84,96.790,512.000
1767773118.249799795,16.27,97.190,512.000
1767773120.290947828,13.60,96.860,512.000
1767773122.338294093,14.29,97.110,512.000
1767773124.375844533,13.04,96.860,512.000
1767773126.428269973,13.61,96.860,512.000
1767773128.467336940,13.58,97.110,512.000
1767773130.507693695,12.57,96.870,512.000
1767773132.553030790,13.84,96.800,512.000
1767773134.594945600,13.36,96.800,512.000
1767773136.641046414,14.58,97.060,512.000
1767773138.685226661,13.30,96.800,512.000
1767773140.735405835,13.80,97.050,512.000
1767773142.776564484,13.34,96.800,512.000
1767773144.816015417,13.68,96.800,512.000
1767773146.860373090,13.56,97.290,512.000
1767773148.900373299,15.82,97.300,512.000
1767773150.948990464,14.09,97.050,512.000
1767773152.988328376,13.08,97.050,512.000
1767773155.039035117,13.55,97.050,512.000
1767773157.078631167,13.71,96.800,512.000
1767773159.125549705,16.45,97.410,512.000
1767773161.166979228,13.98,97.050,512.000
1767773163.206549791,14.57,97.050,512.000
1767773165.253661435,13.63,97.290,512.000
1767773167.293407599,12.76,96.800,512.000
1767773169.338633012,17.06,97.100,512.000
1767773171.380083376,14.28,96.800,512.000
1767773173.418896084,13.02,96.800,512.000
1767773175.460633720,13.00,97.040,512.000
1767773177.509353424,15.94,97.280,512.000
1767773179.557373321,16.67,96.850,512.000
1767773181.598564590,13.50,97.050,512.000
1767773183.644946263,13.63,97.070,512.000
1767773185.684574089,13.53,97.040,512.000
1767773187.728750259,14.17,94.590,512.000
1767773189.770450869,15.43,94.610,512.000
1767773191.809718297,13.64,95.090,512.000
1767773193.853518652,14.54,94.600,512.000
1767773195.891989321,13.91,95.080,512.000
1767773197.938008995,13.91,94.600,512.000
1767773199.977111425,16.92,96.110,512.000
1767773202.022727029,16.22,94.630,512.000
1767773204.061598174,13.96,94.630,512.000
1767773206.102261143,14.02,95.130,512.000
1767773208.150419848,14.50,95.120,512.000
1767773210.189592982,16.01,94.640,512.000
1767773212.237048964,13.38,94.610,512.000
1767773214.278789214,13.48,95.100,512.000
1767773216.319801102,14.19,94.610,512.000
1767773218.364017655,15.88,94.620,512.000
1767773220.403547323,13.36,94.620,512.000
1767773222.450248616,13.90,94.630,512.000
1767773224.487575417,13.69,94.620,512.000
1767773226.539078724,16.76,94.800,512.000
1767773228.578601821,12.56,95.040,512.000
1767773230.623223559,12.84,94.800,512.000
1767773232.669875612,13.08,94.790,512.000
1767773234.710454178,13.10,94.790,512.000
1767773236.758106815,13.46,94.790,512.000
1767773238.801305966,13.09,94.780,512.000
1767773240.847385002,13.37,96.430,512.000
1767773242.886046469,12.17,96.400,512.000
1767773244.932805796,12.95,96.400,512.000
1767773246.972628852,13.34,96.390,512.000
1767773249.010796631,12.69,96.410,512.000
1767773251.053332606,13.38,96.410,512.000
1767773253.092782530,15.55,96.400,512.000
1767773255.141202426,12.68,96.890,512.000
1767773257.182035145,13.87,96.400,512.000
1767773259.229512907,13.48,96.420,512.000
1767773261.267355366,12.60,96.420,512.000
1767773263.307650143,13.07,96.410,512.000
1767773265.350480165,13.49,96.640,512.000
1767773267.391040823,13.61,96.650,512.000
1767773269.438816038,14.10,97.400,512.000
1767773271.480664763,12.60,96.420,512.000
1767773273.530113679,15.54,96.650,512.000
1767773275.570295626,13.06,96.410,512.000
1767773277.609828551,12.59,96.650,512.000
1767773279.651259351,15.66,96.420,512.000
1767773281.690541935,13.64,96.410,512.000
1767773283.736332485,13.36,96.400,512.000
1767773285.776638457,12.94,96.400,512.000
1767773287.822275288,15.22,96.640,512.000
1767773289.862430687,16.13,96.410,512.000
1767773291.899582452,13.52,96.410,512.000
1767773293.949097076,15.16,96.740,512.000
1767773295.989887432,13.16,96.660,512.000
1767773298.033066507,12.93,96.400,512.000
1767773300.072600147,15.22,96.880,512.000
1767773302.110786621,13.19,96.640,512.000
1767773304.154193616,14.40,96.410,512.000
1767773306.194484253,12.60,96.650,512.000
1767773308.244554947,13.29,96.660,512.000
1767773310.283730926,15.24,96.420,512.000
1767773312.330034677,13.41,96.650,512.000
1767773314.370453446,13.48,96.400,512.000
1767773316.410457105,15.67,96.410,512.000
1767773318.455846485,13.98,96.650,512.000
1767773320.494176984,15.97,96.400,512.000
1767773322.541335816,13.09,96.640,512.000
1767773324.583780943,12.68,96.390,512.000
1767773326.630970555,12.76,96.390,512.000
1767773328.669073626,14.15,96.880,512.000
1767773330.708594849,15.70,96.410,512.000
1767773332.754828822,12.75,96.390,512.000
1767773334.800821451,13.84,96.430,512.000
1767773336.850356661,15.69,96.410,512.000
1767773338.892493199,12.95,96.420,512.000
1767773340.939660170,13.68,96.410,512.000
1767773342.980026747,14.67,96.420,512.000
1767773345.021098821,14.25,96.890,512.000
1767773347.060616149,13.11,96.390,512.000
1767773349.102957114,12.94,96.410,512.000
1767773351.150525052,13.88,96.650,512.000
1767773353.189837244,12.51,96.390,512.000
1767773355.235873137,13.49,96.400,512.000
1767773357.273655440,15.46,96.490,512.000
1767773359.312675813,14.40,95.950,512.000
1767773361.358997856,12.78,96.190,512.000
1767773363.397060277,12.95,96.180,512.000
1767773365.440701112,14.99,96.210,512.000
1767773367.479387047,13.76,96.130,512.000
1767773369.529792692,13.55,95.890,512.000
1767773371.570004952,13.12,95.900,512.000
1767773373.608018101,13.70,96.380,512.000
1767773375.653051009,13.57,96.370,512.000
1767773377.693306401,12.96,95.960,512.000
1767773379.745127312,16.16,96.310,512.000
1767773381.786183292,12.89,95.960,512.000
1767773383.837917451,13.91,96.450,512.000
1767773385.877656601,13.04,95.960,512.000
1767773387.929658244,13.21,95.920,512.000
1767773389.968353069,12.73,96.160,512.000
1767773392.008576583,13.18,95.910,512.000
1767773394.056736372,15.60,95.910,512.000
1767773396.096902108,12.70,96.150,512.000
1767773398.142759282,13.34,96.210,512.000
1767773400.179916253,13.75,96.160,512.000
1767773402.225358235,12.76,95.910,512.000
1767773404.271659495,12.83,96.390,512.000
1767773406.310882137,13.50,95.900,512.000
1767773408.351818135,14.39,95.920,512.000
1767773410.392136150,16.48,96.150,512.000
1767773412.440161177,13.12,95.880,512.000
1767773414.486083366,13.39,96.140,512.000
1767773416.533131495,13.55,95.890,512.000
1767773418.572645977,12.91,96.370,512.000
1767773420.614271275,15.98,95.890,512.000
1767773422.656052166,15.99,95.880,512.000
1767773424.703759387,12.94,96.120,512.000
1767773426.751226146,12.60,95.880,512.000
1767773428.793341257,13.11,95.910,512.000
1767773430.843345715,18.03,95.940,512.000
1767773432.884655179,13.32,95.910,512.000
1767773434.939765152,14.05,96.400,512.000
1767773436.980339693,16.14,95.910,512.000
1767773439.027049628,14.00,95.910,512.000
1767773441.064109371,16.10,96.420,512.000
1767773443.105064580,13.18,96.160,512.000
1767773445.154071962,16.19,95.910,512.000
1767773447.196459890,14.44,95.910,512.000
1767773449.242078682,13.96,95.900,512.000
1767773451.280945399,18.07,95.900,512.000
1767773453.328496009,13.90,95.890,512.000
1767773455.368251330,13.29,95.890,512.000
1767773457.407964792,13.06,95.900,512.000
1767773459.454900735,15.94,95.890,512.000
1767773461.497697165,16.02,95.950,512.000
1767773463.547864866,14.14,96.270,512.000
1767773465.586596291,13.28,95.890,512.000
1767773467.632748130,15.94,96.140,512.000
1767773469.674973334,13.05,95.890,512.000
1767773471.713703907,13.12,96.130,512.000
1767773473.760679136,13.27,95.890,512.000
1767773475.800212051,13.76,95.940,512.000
1767773477.851479193,14.14,95.940,512.000
1767773479.891530414,13.16,95.930,512.000
1767773481.941050637,12.93,95.930,512.000
1767773483.982094299,13.67,95.930,512.000
1767773486.024466020,12.95,96.130,512.000
1767773488.062380619,14.24,95.890,512.000
1767773490.102121097,13.61,96.610,512.000
1767773492.148143263,16.97,95.920,512.000
1767773494.187704123,13.96,95.890,512.000
1767773496.235142246,13.75,96.990,512.000
1767773498.277708847,13.17,97.490,512.000
1767773500.319583854,13.45,96.990,512.000
1767773502.370072874,14.09,97.250,512.000
1767773504.409820105,13.31,97.240,512.000
1767773506.455805264,13.49,97.480,512.000
1767773508.495770928,16.09,97.000,512.000
1767773510.542673635,13.85,97.280,512.000
1767773512.584290688,13.04,97.260,512.000
1767773514.631910285,12.98,97.230,512.000
1767773516.673665440,13.85,97.230,512.000
1767773518.714360318,13.37,97.240,512.000
1767773520.757698013,13.78,97.230,512.000
1767773522.797096620,13.37,97.000,512.000
1767773524.844449336,14.20,97.310,512.000
1767773526.886164215,14.28,97.240,512.000
1767773528.931559175,13.87,97.000,512.000
1767773530.968613890,15.69,97.850,512.000
1767773533.010068270,13.24,97.250,512.000
1767773535.057899548,14.10,97.240,512.000
1767773537.100378788,13.07,97.000,512.000
1767773539.148539066,14.38,96.550,512.000
1767773541.186815763,16.09,96.490,512.000
1767773543.230275630,13.67,96.480,512.000
1767773545.271112058,13.86,96.480,512.000
1767773547.310196747,13.01,96.770,512.000
1767773549.358717936,13.60,96.520,512.000
1767773551.399998590,16.38,96.760,512.000
1767773553.449412621,13.30,96.520,512.000
1767773555.491138063,12.68,96.750,512.000
1767773557.539638374,13.18,96.480,512.000
1767773559.579534552,13.75,96.470,512.000
1767773561.622985895,15.82,96.480,512.000
1767773563.662613879,13.49,96.470,512.000
1767773565.703386238,13.70,96.960,512.000
1767773567.750012931,13.50,96.470,512.000
1767773569.798299170,13.79,96.710,512.000
1767773571.843838747,15.54,96.790,512.000
