timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767749289.341999294,58.59,36.750,512.000
1767749291.384950647,72.72,42.670,512.000
1767749293.441866099,34.18,47.130,512.000
1767749295.487934699,28.56,48.150,512.000
1767749297.540054388,30.28,47.590,512.000
1767749299.582591529,23.51,47.520,512.000
1767749301.635183456,17.84,48.090,512.000
1767749303.679142226,18.19,47.950,512.000
1767749305.724843862,22.02,47.440,512.000
1767749307.773368119,22.45,47.350,512.000
1767749309.824142768,19.29,47.460,512.000
1767749311.865591754,23.81,47.830,512.000
1767749313.919196829,23.56,47.590,512.000
1767749315.961737101,20.68,48.310,512.000
1767749318.004254850,20.40,48.690,512.000
1767749320.050844967,21.21,48.240,512.000
1767749322.091734205,24.45,47.440,512.000
1767749324.147812941,24.24,48.000,512.000
1767749326.191434980,22.32,47.840,512.000
1767749328.247297517,22.84,48.080,512.000
1767749330.292527077,25.06,47.480,512.000
1767749332.343887885,21.22,47.800,512.000
1767749334.388327343,23.70,48.530,512.000
1767749336.439456314,21.25,47.680,512.000
1767749338.480202418,21.02,47.950,512.000
1767749340.528334276,24.34,49.320,512.000
1767749342.574437650,21.54,47.930,512.000
1767749344.620041671,25.24,47.910,512.000
1767749346.664950071,21.91,48.770,512.000
1767749348.718594110,21.22,47.470,512.000
1767749350.760728929,24.79,47.960,512.000
1767749352.801039529,20.64,47.620,512.000
1767749354.856463182,24.35,47.280,512.000
1767749356.899784016,23.45,48.230,512.000
1767749358.950442724,22.32,49.290,512.000
1767749360.991175036,22.61,48.590,512.000
1767749363.045335826,23.23,48.370,512.000
1767749365.089418525,24.71,48.780,512.000
1767749367.143528408,23.27,48.000,512.000
1767749369.185623608,21.41,48.420,512.000
1767749371.236295829,23.49,47.500,512.000
1767749373.278394384,22.39,48.630,512.000
1767749375.321692010,23.80,47.860,512.000
1767749377.371691861,21.13,47.710,512.000
1767749379.418626503,21.13,48.050,512.000
1767749381.463822417,26.90,47.850,512.000
1767749383.503742703,22.69,49.050,512.000
1767749385.559072271,25.23,48.890,512.000
1767749387.599797063,21.36,47.600,512.000
1767749389.653472483,21.61,47.410,512.000
1767749391.695793182,24.03,47.770,512.000
1767749393.749219431,23.42,47.180,512.000
1767749395.789552332,20.53,47.610,512.000
1767749397.839797111,22.90,47.540,512.000
1767749399.883084562,22.31,47.910,512.000
1767749401.939520282,23.84,48.170,512.000
1767749403.979610865,22.39,48.010,512.000
1767749406.027225042,21.55,48.660,512.000
1767749408.068829548,22.54,48.110,512.000
1767749410.109189688,22.40,47.750,512.000
1767749412.160171823,22.05,48.230,512.000
1767749414.198796370,23.83,47.900,512.000
1767749416.251049531,19.83,49.430,512.000
1767749418.296970774,21.20,48.580,512.000
1767749420.351565560,20.75,48.710,512.000
1767749422.399671631,22.80,47.550,512.000
1767749424.449039591,26.41,47.190,512.000
1767749426.490002834,21.67,47.830,512.000
1767749428.539173060,22.16,48.120,512.000
1767749430.583960914,22.77,47.980,512.000
1767749432.632520056,23.54,48.000,512.000
1767749434.675389722,23.53,49.140,512.000
1767749436.726664956,22.44,47.800,512.000
1767749438.776378655,21.10,47.760,512.000
1767749440.825187788,23.51,47.820,512.000
1767749442.866619591,21.99,47.690,512.000
1767749444.909460661,21.13,47.760,512.000
1767749446.961079349,21.22,47.950,512.000
1767749449.000874255,22.70,48.280,512.000
1767749451.051868786,21.97,48.190,512.000
1767749453.095507288,18.92,48.340,512.000
1767749455.150302915,25.44,48.860,512.000
1767749457.190548880,22.75,48.250,512.000
1767749459.239099521,21.42,48.250,512.000
1767749461.283036965,23.51,48.320,512.000
1767749463.331577507,22.05,48.000,512.000
