timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767761982.486104865,44.98,31.390,512.000
1767761984.524586194,19.63,53.590,512.000
1767761986.575673689,22.42,79.590,512.000
1767761988.614967421,19.12,102.300,512.000
1767761990.658210828,22.57,122.900,512.000
1767761992.698129711,20.03,114.300,512.000
1767761994.740858330,18.45,113.700,512.000
1767761996.779507241,17.05,117.700,512.000
1767761998.825509260,17.76,116.700,512.000
1767762000.865684050,16.94,111.200,512.000
1767762002.905326888,20.25,114.300,512.000
1767762004.955388921,18.56,116.700,512.000
1767762006.993591638,20.08,111.300,512.000
1767762009.040718462,17.20,116.300,512.000
1767762011.079048260,20.00,113.600,512.000
1767762013.118996669,24.18,115.700,512.000
1767762015.166703299,18.66,113.400,512.000
1767762017.207595990,18.30,117.900,512.000
1767762019.255744435,16.79,114.600,512.000
1767762021.296292508,19.48,115.000,512.000
1767762023.341264679,20.55,115.800,512.000
1767762025.379390391,19.91,119.200,512.000
1767762027.418144917,16.88,114.000,512.000
1767762029.462444815,17.93,110.600,512.000
1767762031.504162077,18.75,113.600,512.000
1767762033.548389601,19.75,117.700,512.000
1767762035.588475240,17.25,111.900,512.000
1767762037.630638175,19.30,115.100,512.000
1767762039.675011906,19.09,113.900,512.000
1767762041.717282567,17.13,116.700,512.000
1767762043.764938776,19.37,112.600,512.000
1767762045.805136882,17.86,115.700,512.000
1767762047.853202175,19.15,119.400,512.000
1767762049.891211999,16.55,112.900,512.000
1767762051.930355692,18.21,111.700,512.000
1767762053.974718240,16.95,114.100,512.000
1767762056.017362621,17.62,112.100,512.000
1767762058.067745536,19.79,116.400,512.000
1767762060.107158599,17.21,114.600,512.000
1767762062.154180222,18.99,112.400,512.000
1767762064.196698650,17.77,114.900,512.000
1767762066.239400915,23.90,116.500,512.000
1767762068.282083734,18.93,115.700,512.000
1767762070.328046015,18.16,114.500,512.000
1767762072.376338928,18.78,128.800,512.000
1767762074.415363536,17.88,124.400,512.000
1767762076.466754489,18.55,117.600,512.000
1767762078.505143812,18.75,119.200,512.000
1767762080.560798201,18.13,116.400,512.000
1767762082.601433108,20.97,115.600,512.000
1767762084.650322622,17.46,119.300,512.000
1767762086.688887609,20.82,121.100,512.000
1767762088.729041002,18.11,115.200,512.000
1767762090.784043607,16.66,118.300,512.000
1767762092.823902466,18.11,115.400,512.000
1767762094.868823465,17.77,118.900,512.000
1767762096.908557681,19.09,116.400,512.000
1767762098.956817794,21.63,123.200,512.000
1767762100.994556252,17.25,115.300,512.000
1767762103.040629776,17.18,118.800,512.000
1767762105.079654288,18.64,115.500,512.000
1767762107.120358697,18.22,116.000,512.000
1767762109.168879967,19.12,113.200,512.000
1767762111.208330906,18.12,117.800,512.000
1767762113.254343620,21.00,114.800,512.000
1767762115.296288069,16.78,118.100,512.000
1767762117.336210879,18.71,118.400,512.000
1767762119.377507409,18.69,118.300,512.000
1767762121.418590017,18.60,118.300,512.000
1767762123.467954973,20.31,113.800,512.000
1767762125.507259561,18.29,113.300,512.000
1767762127.552558817,17.22,116.800,512.000
1767762129.589418951,16.34,114.300,512.000
1767762131.630967952,17.00,118.300,512.000
1767762133.674409580,21.03,112.900,512.000
1767762135.713901396,18.59,118.500,512.000
1767762137.759924861,19.83,116.100,512.000
1767762139.798595631,18.42,113.100,512.000
1767762141.840347509,16.78,116.100,512.000
1767762143.879819600,20.77,112.600,512.000
1767762145.920547389,17.12,116.500,512.000
1767762147.972394223,20.16,121.700,512.000
1767762150.017021261,17.27,113.800,512.000
1767762152.063630997,18.18,112.600,512.000
1767762154.107342853,20.60,114.400,512.000
1767762156.154073778,17.59,117.000,512.000
1767762158.193532971,17.78,112.600,512.000
1767762160.231063130,18.83,120.500,512.000
1767762162.273521587,17.29,118.100,512.000
1767762164.311923681,21.65,119.200,512.000
1767762166.361094859,17.40,114.600,512.000
1767762168.401536558,16.99,117.500,512.000
1767762170.450263541,17.44,112.600,512.000
1767762172.498753017,17.42,116.100,512.000
1767762174.546816962,17.15,112.600,512.000
1767762176.586760805,16.93,112.600,512.000
1767762178.624253471,18.24,115.500,512.000
1767762180.670675584,17.07,113.100,512.000
1767762182.710218364,17.94,115.800,512.000
1767762184.754935285,17.79,114.500,512.000
1767762186.795152108,16.15,113.600,512.000
1767762188.835260466,17.16,116.800,512.000
1767762190.878127423,17.01,121.100,512.000
1767762192.918662016,16.91,114.600,512.000
1767762194.966828863,18.63,117.700,512.000
1767762197.009829304,17.03,114.400,512.000
1767762199.057739148,17.86,113.700,512.000
1767762201.095003281,18.44,117.000,512.000
1767762203.134787583,18.06,114.500,512.000
1767762205.179658813,19.00,112.400,512.000
1767762207.217853051,18.13,111.900,512.000
1767762209.264904791,16.79,113.500,512.000
1767762211.305081767,17.60,116.900,512.000
1767762213.350546167,17.37,112.700,512.000
1767762215.388831443,17.43,116.200,512.000
