timestamp,cpu_percent,mem_usage_mb,mem_limit_mb
1767751099.371688019,59.84,40.430,512.000
1767751101.418606010,49.22,42.670,512.000
1767751103.471260477,33.42,47.110,512.000
1767751105.512608624,29.67,47.500,512.000
1767751107.568202232,29.71,47.610,512.000
1767751109.609892443,25.07,48.440,512.000
1767751111.661414823,23.88,47.800,512.000
1767751113.701904379,24.24,48.020,512.000
1767751115.754942656,19.03,48.180,512.000
1767751117.800193339,24.54,47.430,512.000
1767751119.849893821,20.99,48.450,512.000
1767751121.891099946,21.53,48.080,512.000
1767751123.940533684,25.27,48.830,512.000
1767751125.985858534,20.64,47.970,512.000
1767751128.027387316,20.85,48.950,512.000
1767751130.078475442,26.16,47.320,512.000
1767751132.119500333,23.00,47.620,512.000
1767751134.168518755,21.06,48.610,512.000
1767751136.212127316,22.76,48.490,512.000
1767751138.258262179,22.09,48.720,512.000
1767751140.298732352,24.87,48.120,512.000
1767751142.352547547,22.92,47.800,512.000
1767751144.395202207,25.93,47.970,512.000
1767751146.447348213,21.80,47.880,512.000
1767751148.493004040,21.53,48.960,512.000
1767751150.541649415,25.18,48.650,512.000
1767751152.582500873,22.17,47.850,512.000
1767751154.625713523,25.07,48.130,512.000
1767751156.673471813,22.10,49.440,512.000
1767751158.713715563,22.67,48.830,512.000
1767751160.760127744,25.69,48.150,512.000
1767751162.802034720,23.52,48.130,512.000
1767751164.853093441,25.00,47.770,512.000
1767751166.893898197,23.72,48.440,512.000
1767751168.942759945,22.23,48.460,512.000
1767751170.983845700,26.06,48.270,512.000
1767751173.028254590,23.76,47.770,512.000
1767751175.079813522,23.93,48.540,512.000
1767751177.120904355,23.57,47.560,512.000
1767751179.169550373,18.87,49.110,512.000
1767751181.209762568,24.93,49.080,512.000
1767751183.260860960,21.87,48.040,512.000
1767751185.300134624,22.59,48.270,512.000
1767751187.346273282,22.18,48.290,512.000
1767751189.393217910,20.95,48.410,512.000
1767751191.449429140,22.50,48.900,512.000
1767751193.492220675,21.43,48.790,512.000
1767751195.532478393,21.80,48.670,512.000
1767751197.578879745,22.81,48.760,512.000
1767751199.621391511,20.78,48.050,512.000
1767751201.671163967,22.46,48.300,512.000
1767751203.711013283,22.07,48.580,512.000
1767751205.761133244,23.34,48.120,512.000
1767751207.800528072,21.69,47.870,512.000
1767751209.846822729,23.95,47.880,512.000
1767751211.891802667,17.77,48.580,512.000
1767751213.942513600,23.48,48.160,512.000
1767751215.986089760,22.29,48.820,512.000
1767751218.026318397,22.55,48.490,512.000
1767751220.071851105,22.85,48.380,512.000
1767751222.116198988,22.01,47.910,512.000
1767751224.172475103,25.41,47.750,512.000
1767751226.213334839,21.04,47.860,512.000
1767751228.270333354,22.55,48.510,512.000
1767751230.312309764,22.75,48.360,512.000
1767751232.363213647,23.35,49.000,512.000
1767751234.403798001,20.92,47.230,512.000
1767751236.450514498,21.55,48.470,512.000
1767751238.491922935,21.39,48.640,512.000
1767751240.533820915,22.57,48.550,512.000
1767751242.582432063,23.13,48.100,512.000
1767751244.624861884,24.33,49.180,512.000
1767751246.674638098,22.46,48.390,512.000
1767751248.713954889,19.72,48.710,512.000
1767751250.771523023,25.55,48.620,512.000
1767751252.816695645,23.64,49.160,512.000
1767751254.879021660,26.05,48.780,512.000
1767751256.920690514,21.37,48.640,512.000
1767751258.968373548,21.23,48.770,512.000
1767751261.013374805,25.61,47.890,512.000
1767751263.074116921,22.65,49.150,512.000
1767751265.114641186,23.81,48.370,512.000
1767751267.161403331,22.95,48.250,512.000
1767751269.202356013,21.74,47.590,512.000
1767751271.257176662,25.51,48.520,512.000
1767751273.297906593,23.69,47.420,512.000
1767751275.350687506,21.15,48.320,512.000
1767751277.396706658,21.45,48.290,512.000
1767751279.449184358,22.53,48.900,512.000
1767751281.493025073,25.64,48.630,512.000
1767751283.543528930,22.04,47.980,512.000
1767751285.590234155,23.65,48.610,512.000
1767751287.635356464,24.25,48.400,512.000
1767751289.681187560,22.71,48.250,512.000
1767751291.723569161,22.58,48.640,512.000
1767751293.782203767,22.44,48.850,512.000
1767751295.822120990,21.83,48.290,512.000
1767751297.873238242,23.53,48.650,512.000
1767751299.916256381,21.81,48.210,512.000
1767751301.970708650,26.03,48.730,512.000
1767751304.015362824,23.83,48.670,512.000
1767751306.070238180,19.31,49.530,512.000
1767751308.112459425,23.72,48.890,512.000
1767751310.167504159,21.33,48.490,512.000
1767751312.209444584,22.48,48.350,512.000
1767751314.263649664,26.22,48.590,512.000
1767751316.312027046,21.12,48.660,512.000
1767751318.367463747,21.91,48.740,512.000
